CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100001,Female,0,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.33,2054.28,No
CUST100002,Male,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.76,1179.14,No
CUST100003,Male,1,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,35.64,1766.36,No
CUST100004,Female,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,92.6,6493.43,No
CUST100005,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,78.75,253.24,Yes
CUST100006,Male,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.81,525.01,Yes
CUST100007,Female,1,No,No,67,No,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,44.13,2921.94,No
CUST100008,Male,1,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,32.83,1352.58,No
CUST100009,Female,0,No,No,45,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,88.82,4051.82,No
CUST100010,Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,91.92,2239.04,Yes
CUST100011,Male,0,No,Yes,60,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,62.17,3741.26,No
CUST100012,Male,0,No,Yes,47,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,45.88,2188.77,No
CUST100013,Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,31.65,562.14,No
CUST100014,Male,0,No,No,47,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.44,3059.03,No
CUST100015,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,53.79,18.0,No
CUST100016,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,95.47,1646.18,Yes
CUST100017,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,77.17,1242.31,Yes
CUST100018,Female,0,No,No,57,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.24,2912.95,No
CUST100019,Male,0,Yes,Yes,53,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,61.2,3216.42,No
CUST100020,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,92.14,650.54,Yes
