Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AverageMonthlySpend,ChargeDifference,ServiceCount,TenureGroup,ChargeGroup,ContractRisk,ElectronicPayment,HasTechSupport,HasOnlineSecurity
Female,0,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.33,2054.28,No,33.67672131147541,2.653278688524587,2,Loyal,Low,1,0,0,0
Male,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.76,1179.14,No,35.731515151515154,-0.9715151515151561,2,Established,Low,0,0,0,0
Male,1,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,35.64,1766.36,No,34.63450980392157,1.0054901960784335,2,Loyal,Low,2,0,0,0
Female,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,92.6,6493.43,No,92.76328571428571,-0.16328571428572047,5,Loyal,High,2,1,0,1
Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,78.75,253.24,Yes,63.31,15.439999999999998,3,New,High,1,1,0,1
Male,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.81,525.01,Yes,65.62625,8.183750000000003,1,New,High,2,0,0,0
Female,1,No,No,67,No,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,44.13,2921.94,No,43.61104477611941,0.5189552238805959,1,Loyal,Medium,1,1,0,0
Male,1,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,32.83,1352.58,No,32.98975609756097,-0.15975609756097242,1,Established,Low,1,0,0,0
Female,0,No,No,45,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,88.82,4051.82,No,90.04044444444445,-1.2204444444444533,4,Established,High,1,0,0,0
Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,91.92,2239.04,Yes,89.5616,2.358400000000003,5,Established,High,2,0,0,1
Male,0,No,Yes,60,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,62.17,3741.26,No,62.35433333333334,-0.1843333333333348,4,Loyal,Medium,2,0,1,0
Male,0,No,Yes,47,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,45.88,2188.77,No,46.56957446808511,-0.6895744680851053,1,Established,Medium,0,0,0,0
Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,31.65,562.14,No,29.586315789473684,2.063684210526315,1,Developing,Low,2,0,0,0
Male,0,No,No,47,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.44,3059.03,No,65.08574468085106,-0.6457446808510667,4,Established,Medium,2,1,1,0
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,53.79,18.0,No,18.0,35.79,2,New,Medium,2,0,0,0
Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,95.47,1646.18,Yes,91.45444444444445,4.015555555555551,4,Developing,High,2,0,0,0
Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,77.17,1242.31,Yes,82.82066666666667,-5.650666666666666,3,Developing,High,2,1,0,0
Female,0,No,No,57,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.24,2912.95,No,51.104385964912275,3.135614035087727,3,Loyal,Medium,2,1,0,0
Male,0,Yes,Yes,53,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,61.2,3216.42,No,60.68716981132076,0.5128301886792457,3,Loyal,Medium,1,0,0,0
Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,92.14,650.54,Yes,92.9342857142857,-0.7942857142857065,6,New,High,1,0,0,1
Male,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,37.04,2464.17,No,37.33590909090909,-0.2959090909090918,2,Loyal,Low,0,0,0,0
Female,0,Yes,No,59,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,78.79,4671.18,No,79.17254237288137,-0.3825423728813604,3,Loyal,High,0,1,0,0
Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.19,2548.34,No,79.635625,0.5543749999999932,3,Established,High,2,1,0,1
Male,0,Yes,Yes,16,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card,66.38,1031.68,No,64.48,1.8999999999999915,4,Developing,Medium,2,0,1,0
Male,1,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,71.97,2163.21,No,69.78096774193548,2.1890322580645147,2,Established,High,0,1,0,0
Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,91.02,4037.6,No,93.89767441860465,-2.8776744186046557,6,Established,High,2,0,1,0
Female,1,No,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,18.0,889.52,No,19.337391304347825,-1.3373913043478254,0,Established,Low,2,0,0,0
Male,1,No,Yes,26,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer,80.13,2106.8,No,81.03076923076924,-0.9007692307692423,3,Established,High,2,0,1,1
Male,0,Yes,No,8,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,61.35,485.17,No,60.64625,0.7037499999999994,3,New,Medium,1,1,0,0
Female,0,Yes,Yes,44,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card,46.7,2006.99,No,45.613409090909094,1.0865909090909085,2,Established,Medium,2,0,1,0
Female,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,39.24,1997.24,No,39.16156862745098,0.07843137254901933,2,Loyal,Low,2,0,0,0
